orden	collection	item_id	asset_type	size	href	signed
1	MDT-50cm	MDT-50cm-285557-09-2024	image/tiff; application=geotiff	17345183	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/33ee37eeb79645dbfc5c93218d8c784363c95cf9e87072d3d85cdeae8aadae59	1
1	MDT-50cm	MDT-50cm-285556-09-2024	image/tiff; application=geotiff	18066435	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/9943cef835c7ccd2f9f3f48eedfa3f7102da7bc9ddc74eff927299b3063be719	1
1	MDT-50cm	MDT-50cm-285555-09-2024	image/tiff; application=geotiff	18116469	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/7f24dbfdbf1e46315a509fa4419ca380143ecb622580287b54c079867035717c	1
1	MDT-50cm	MDT-50cm-285554-09-2024	image/tiff; application=geotiff	18869497	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ebdf0038640e140eb5bc93d5be375b643f29290fb80e7f9fdaeea04461e6ac6e	1
1	MDT-50cm	MDT-50cm-285553-09-2024	image/tiff; application=geotiff	19647143	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/ee4e4ae97db72e4d1204714f80a3e3c6341f991cf2013f1a801a67eab4cf4147	1
1	MDT-50cm	MDT-50cm-284559-09-2024	image/tiff; application=geotiff	834789	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/83089550cb888c0c49bb2fc15a0fc3800ed542930a1c1b1a3735cc587165d678	1
1	MDT-50cm	MDT-50cm-284558-09-2024	image/tiff; application=geotiff	15238456	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/69cf0533c0d493730026d0a6e52844a1e6e972cca444dce52201c6762c818c93	1
1	MDT-50cm	MDT-50cm-284557-09-2024	image/tiff; application=geotiff	16861919	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/2cf7b7d3fb8e5405b09b10522fdb448d5a85708e4dae6a6741b8785a9fc93ff9	1
1	MDT-50cm	MDT-50cm-284556-09-2024	image/tiff; application=geotiff	17995555	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/b745d6cddd1e981c84818174da36aa28ada759f2d1b4e5c6b8f1d1e692f51330	1
1	MDT-50cm	MDT-50cm-284555-09-2024	image/tiff; application=geotiff	18022035	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/921b6627347bead5ca9afe095e6e462abfa4bb75e2b118ffd52dcfd0280e86b5	1
1	MDT-50cm	MDT-50cm-284554-09-2024	image/tiff; application=geotiff	19120781	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/999280f6b237ab3b927d34c809cbd9a7a1511f2d4fd9b9f649444df4544a10a6	1
1	MDT-50cm	MDT-50cm-284553-09-2024	image/tiff; application=geotiff	20134835	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/fa9af0a4491da579d24f733f341307fa84b439c2787f69290635e5319fb6f26c	1
1	MDT-50cm	MDT-50cm-283559-09-2024	image/tiff; application=geotiff	5461275	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/dcb49b0abe2f30701643c75dc2043cd7b83ea34fb0666c289438104f6f3f0880	1
1	MDT-50cm	MDT-50cm-283558-09-2024	image/tiff; application=geotiff	17558913	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/599384be7b2820f2a3bd907d8143c7784644cfcd26c3620e9b7fbc092294159c	1
1	MDT-50cm	MDT-50cm-283557-09-2024	image/tiff; application=geotiff	17730561	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/1ba08560108ce45e1f44ca85411079bb33f958b1f348da3136f45ef701765d71	1
1	MDT-50cm	MDT-50cm-283556-09-2024	image/tiff; application=geotiff	18281043	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/43669b611418e55333ad19ec17fbb905b122baa8085d62393b423dbec6b3da6b	1
1	MDT-50cm	MDT-50cm-283555-09-2024	image/tiff; application=geotiff	17997169	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/44c8b5c7c43ce3504ed6e764b6b47b97a3ceace3aa4149361a2f5f94cfa698d4	1
1	MDT-50cm	MDT-50cm-283554-09-2024	image/tiff; application=geotiff	18438219	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/58b2e8f78fd9ff535df6dee59646b227eda15299b0cafa372dcf694e1b5c14f6	1
1	MDT-50cm	MDT-50cm-283553-09-2024	image/tiff; application=geotiff	18960739	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/5995c919545a8728bd992aae2434cf5fa9662d59e9e5cc6cbe8772c8f62fbd5b	1
1	MDT-50cm	MDT-50cm-282559-09-2024	image/tiff; application=geotiff	9986283	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/f4453f719c8ee611ad8342ac524cd700cfce8c6e399fa9a2625fa7f3b460c9a2	1
1	MDT-50cm	MDT-50cm-282558-09-2024	image/tiff; application=geotiff	17514961	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/0443d6bf2a63e1caa0721adbd2c56d156dab4435305d1027657103bfe83f3ee2	1
1	MDT-50cm	MDT-50cm-282557-09-2024	image/tiff; application=geotiff	17940401	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c70bcb20306f1d2f9e95177c0614f3aa48023305719396bae0a43fd349071eac	1
1	MDT-50cm	MDT-50cm-282556-09-2024	image/tiff; application=geotiff	17918837	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/c5561bbc8a6d27472a33e0e76c737c59e9c2769d6845b87e659d9cef51f48ee0	1
1	MDT-50cm	MDT-50cm-282555-09-2024	image/tiff; application=geotiff	18703079	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/d276b02471d8a045b043b9316c115903306a83b816da442b566153981aa95942	1
1	MDT-50cm	MDT-50cm-282554-09-2024	image/tiff; application=geotiff	18148011	https://cdd.dgterritorio.gov.pt/dgt-be/v1/download/162a56e2f158aa605165f004d81bd4987fa659110e35f0d38099ee77617e4294	1
