dataset	subset	rows	positives	negatives	roc_auc	average_precision	precision_at_10	recall_at_10	precision_at_50	recall_at_50	precision_at_100	recall_at_100	best_positive_rank	median_positive_rank
holdouts	all	204	68	136	0.888949	0.866398	1.000000	0.147059	0.900000	0.661765	0.600000	0.882353	1	37.5
holdouts	split:test_o_val	5	4	1	0.750000	0.950000	0.800000	1.000000	0.800000	1.000000	0.800000	1.000000	1	2.5
holdouts	split:test_trasancos	199	64	135	0.897569	0.864284	1.000000	0.156250	0.880000	0.687500	0.570000	0.890625	1	36.5
train_mini	all	553	276	277	0.869330	0.859469	1.000000	0.036232	0.920000	0.166667	0.890000	0.322464	1	156.5
val	all	1851	359	1492	0.878253	0.754336	1.000000	0.027855	0.980000	0.136490	0.950000	0.264624	1	207.0
