nome	concello	parroquia	lugar	id_ipaga	cod_impres	tipoloxia	xenerico	ficha	x	y	lon_wgs84	lat_wgs84	observacio
Mámoa dos Montes de Brión VI-5	Ferrol	Brión (Santa María)	Liñares	GA15036059	Ferrol_10649		-	A18	558404	4814040	-8.277855905024753	43.47699340795304	SI.2020.100.INV: Corrixida codificación. O PXOM asígnalle GA15036058
Mámoas de Brión	Ferrol	Brión (Santa María)	Confurco, O	RE15036005	Ferrol_10650		-	-	556442	4814462	-8.302064142577057	43.48094769050401	
Mámoas do Monte Ventoso	Ferrol	Doniños (San Román)	Confurco, O	RE15036010	Ferrol_10651		-	-	555394	4814403	-8.315028166624689	43.480494681823295	
Necrópole de Santa Comba/Castro de Santa Comba	Ferrol	Covas (San Martiño)	Pedreira, A	GA15036014	Ferrol_10679		-	A1	557938	4823153	-8.282642845995516	43.559082757693524	
O Murado	Ferrol	Esmelle (San Xoán)	Chá da Mariña	RE15036001	Ferrol_10680		-	A17	558549	4819320	-8.275489443812253	43.52452677553633	
O Pico de Ouro	Ferrol	Serantes (San Salvador)	Bustelo	RE15036002	Ferrol_10681		-	A19	560700	4818138	-8.249005828994187	43.51371305233038	
Os Castros de Mandiá	Ferrol	Serantes (San Salvador)	Bustelo	GA15036005	Ferrol_10683		-	A9	562134	4818242	-8.231249927366063	43.514526844891975	
Pavimento da rúa Castro	Ferrol	Ferrol	Ferrol	-	Ferrol_10690		-	P.02	561227	4814204	-8.242928526323649	43.478248061947475	
Pena das Coviñas	Ferrol	Brión (Santa María)	Liñares	GA15036015	Ferrol_10707		-	A19	558778	4813765	-8.273253853560615	43.47449293850543	"Pola denominación e a caracterización no PXOM como ""Yacimiento al aire libre"" poderiamos pensar que estamos ante un petroglifo anque ca información dispoñible non podemos afirmalo. O PXOM asígnalle un c¢digo GA15036015"
Petróglifo de Chamorro	Ferrol	Serantes (San Salvador)	Serantellos	GA15036017	Ferrol_10709		ARU	-	561000	4817462	-8.245373920147154	43.50760263509735	
Petróglifo do coto de San Xurxo	Ferrol	San Xurxo da Mariña (San Xurxo)	Mougá	GA15036085	Ferrol_10710		ARU	-	557477	4818129	-8.288881663066935	43.51388427158965	Elemento desprazado 21 m no POL con respecto a localización no PBA
Porta do Castro/Arco do Cristo	Ferrol	Ferrol	Ferrol	-	Ferrol_10718		DEF	15	561270	4814221	-8.242394964840896	43.47839760085566	
San Pedro de Marmancón	Ferrol	Marmancón (San Pedro)	Marmancón	GA15036018	Ferrol_10726		-	A14	560185	4819776	-8.255189674112724	43.528502524369785	
Xacemento romano de Cariño	Ferrol	Brión (Santa María)	Liñares	GA15036061	Ferrol_10747		-	A19	555343	4813258	-8.315775339092518	43.47018903074266	O PXOM asígnalle un código GA15036060
Xacemento romano do Casal de Esmelle	Ferrol	Esmelle (San Xoán)	Chá da Mariña	GA15036013	Ferrol_10748	Xacemento romano	-	A16	558260	4819101	-8.279087115371155	43.52257281574095	Si.2021.392.INV
As Croas	Narón	Trasancos (San Mateo)	Caaveiro	GA15054003	Narón_14763	Castro	-	PA.16	562826	4821509	-8.222309428322422	43.543889071619255	SI.2021.392.INV: Castro de Trasancos no PXOM
Casa en Castro de Arriba	Narón	Castro (Santa María)	Castro de Arriba	-	Narón_14781		-	F_057	571587	4819412	-8.114155816015957	43.524217000701924	
Casa reitoral de Santa María de Castro	Narón	Castro (Santa María)	Nelle	-	Narón_14842		-	-	566459	4821515	-8.17734756224134	43.54362498226654	
Castro da Ermida	Narón	Pedroso (San Salvador)	Pozo, O	GA15054010	Narón_14847		-	PA.7	572392	4820483	-8.104051749616847	43.53377786336151	
Castro da Pedreira	Narón	O Val (Santa María A Maior)	Vilar, O	GA15054037	Narón_14848		-	-	562260	4823386	-8.229105393271073	43.56083091186418	
Castro da Pereiruga	Narón	Pedroso (San Salvador)	Pereiruga, A	GA15054016	Narón_14849		-	PA.8	571151	4821559	-8.11927005988558	43.5435880296391	
Castro da Revolta	Narón	Sedes (Santo Estevo)	Camiño, O	GA15054008	Narón_14850		-	PA.4	568106	4821021	-8.157027013521557	43.539025818329826	
Castro de Eiravedra	Narón	Sedes (Santo Estevo)	Eiravedra		Narón_14851		-	PA.3	570209	4822665	-8.130785103274073	43.553635249028005	SI.2021.392.INV: Necesaria comprobación. Posible duplicado PA.1
Castro de Pena Lopesa	Narón	O Val (Santa María A Maior)	Outeiros, Os	GA15054015	Narón_14852		-	PA.11	562498	4825186	-8.22594601477777	43.57701844556937	
Castro de Petouzal/Castro da Croa	Narón	Narón	Castro, O	GA15054006	Narón_14853	Castro	-	PA.19	566370	4816850	-8.17901516416762	43.501629521149226	SI.2021.392.INV
Castro de Santo Estevo	Narón	Sedes (Santo Estevo)	Figueiras		Narón_14854		-	PA.2	569722	4822427	-8.136844261989637	43.55153816561511	SI.2021.392.INV: Necesaria comprobación. Posible duplicado PA.1
Castro de Sedes/Castro de Eiravedra	Narón	Sedes (Santo Estevo)	Figueiras	GA15054005	Narón_14855	Castro	-	PA.1	569980	4822372	-8.133661544730217	43.551023008990136	SI.2021.392.INV: Xacemento probablemente o mesmo PA.2 e PA.3
Castro de Sequeiro/Castro de Narón	Narón	San Xiao de Narón (San Xiao)	Sequeiro	GA15054007	Narón_14856		-	PA.9	566832	4820408	-8.172870217067269	43.53362624920575	SI.2021.392.INV
Castro de Trasancos	Narón	Trasancos (San Mateo)	San Mateo		Narón_14857		-	PA.16	562963	4821486	-8.220621570398505	43.54366705275839	
Castro de Vicás	Narón	San Xiao de Narón (San Xiao)	Bicás, Os	GA15054009	Narón_14858		-	PA.10	567960	4820503	-8.158893830961198	43.53438144117154	
Cruceiro de Santa María de Castro	Narón	Castro (Santa María)	Borreiros	-	Narón_14876		CRU	F_103	566476	4821610	-8.177125517255233	43.54447878159956	
Igrexa de Castro (Parroquial de Santa María)	Narón	Castro (Santa María)	Nelle	-	Narón_14897	Igrexa	-	F_102	566437	4821621	-8.177606884171155	43.54458129124847	
Lugar da capela de San Clemente	Narón	Xubia (Santa Rita)	Fábrica de Xuvia, A	GA15054033	Narón_14905		-	-	568415	4819111	-8.153437087518467	43.52180422033368	
Monte do Castro (Castro de Vilasuso)	Narón	O Val (Santa María A Maior)	Vilasuso	GA15054001	Narón_14928		-	PA.12	562958	4824077	-8.22038749289567	43.56699829005009	
Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)	San Mateo	GA15036064	Narón_14906	Mámoa	-	PA.18	564776	4819152	-8.198459950939915	43.52249373946746	SI.2021.178: Corrixida información
Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	Muíño do Vento, O	GA15054035	Narón_14907		-	-	562975	4819269	-8.2207321781512	43.5237064246763	Elemento desprazado 110 m no POL con respecto a localización no PBA
Mámoa de Sequeiro	Narón	San Xiao de Narón (San Xiao)	Sequeiro	GA15054036	Narón_14908		-	-	566645	4819952	-8.175234877354264	43.52953889681859	Elemento desprazado 110 m no POL con respecto a localización no PBA
Mámoa de Vespasante/Arca de Vespasante	Narón	Trasancos (San Mateo)	San Mateo	GA15054012	Narón_14909	Mámoa/Túmulo	-	PA.17	563389	4821621	-8.215332878828047	43.54485015561609	SI.2021.392.INV: Necesaria comprobación localización
Mámoa do Monte dos Niños 01	Narón	Sedes (Santo Estevo)	Lagoela	GA15054014	Narón_14911	Túmulo/Mámoa	-	PA.5	570382	4823517	-8.128532989524206	43.561289644301375	O nome correcto é Niños
Mámoa do Monte dos Niños 02	Narón	Sedes (Santo Estevo)	Lagoela	GA15054022	Narón_14912	Túmulo/Mámoa	-	PA.5	570456	4823555	-8.127611892281564	43.561624776856334	O nome correcto é Niños
Mámoa do Monte dos Niños 03	Narón	Sedes (Santo Estevo)	Lagoela	GA15054023	Narón_14913	Túmulo/Mámoa	-	PA.5	570459	4823592	-8.12756994325394	43.561957610237535	O nome correcto é Niños
Mámoa do Monte dos Niños 04	Narón	Sedes (Santo Estevo)	Lagoela	GA15054024	Narón_14914	Túmulo/Mámoa	-	-	570596	4823557	-8.125878346539116	43.56162954344378	O nome correcto é Niños
Mámoa do Monte dos Niños 05	Narón	Sedes (Santo Estevo)	Lagoela	GA15054025	Narón_14915	Túmulo/Mámoa	-	PA.5	570800	4823526	-8.123356750541028	43.56133110666142	O nome correcto é Niños
Mámoa do Monte dos Niños 06	Narón	Sedes (Santo Estevo)	Lagoela	GA15054026	Narón_14916	Túmulo/Mámoa	-	PA.5	571252	4823471	-8.117767978623313	43.56079288631399	O nome correcto é Niños
Mámoa do Monte dos Niños 07	Narón	Sedes (Santo Estevo)	Lagoela	GA15054027	Narón_14917	Túmulo/Mámoa	-	PA.5	570731	4823657	-8.124193922088494	43.56251706654071	O nome correcto é Niños
Mámoa do Monte dos Niños 08	Narón	Sedes (Santo Estevo)	Lagoela	GA15054028	Narón_14918	Túmulo/Mámoa	-	PA.5	570693	4823777	-8.124648748316698	43.563601047543386	O nome correcto é Niños
Mámoa do Monte dos Niños 09	Narón	Sedes (Santo Estevo)	Lagoela	GA15054029	Narón_14919	Túmulo/Mámoa	-	PA.5	570766	4823869	-8.123732928367655	43.56442241286797	O nome correcto é Niños
