spec_brightness	spec_shape_std	spec_swir_vis_ratio	spec_rededge_slope	spec_dates	osm_id	site_class	name	dates_used	ndvi_median	ndvi_std_over_time	ndvi_min	ndvi_max	ndvi_range	core_contrast_median	core_contrast_abs_max
2900.65	0.03014787880028381	1.3325179782248049	1532.0	8.0	128195333	castro	Castro de Troña	8	0.40410712361335754	0.12294388225015142	0.1613057255744934	0.49637264013290405	0.33506691455841064	-0.07218968868255615	0.14337164163589478
2687.95	0.032637490304433914	1.9229859263559501	1183.75	8.0	160480096	castro	Forte de Lovelhe	8	0.37822340428829193	0.038630139788722304	0.26466256380081177	0.3893062472343445	0.12464368343353271	0.02436646819114685	0.03831887245178223
2336.64375	0.02827045803938186	1.6307848747334794	1000.875	8.0	70240593	castro	Castro de Beróbriga	8	0.3444049060344696	0.06503570765523613	0.1860538125038147	0.3590739369392395	0.1730201244354248	-0.017786473035812378	0.055904537439346313
2961.93125	0.02973810885209208	1.4462067138656605	1452.3125	8.0	158906200	castro	Castro de Elviña	8	0.3177313953638077	0.14546519199318703	0.16292953491210938	0.5305272936820984	0.367597758769989	-0.022973552346229553	0.06650042533874512
2979.0375	0.03769643248279958	1.7340721812468518	1770.5625	8.0	172999707	castro	Castro das Travesas	8	0.493147149682045	0.09496035852228438	0.2209102064371109	0.5200865268707275	0.29917632043361664	0.006451115012168884	0.04483157396316528
3254.7875	0.038195998889909086	1.5755460012861784	2105.125	8.0	168328185	castro	Castro Maior	8	0.556633472442627	0.15095749187401947	0.10263730585575104	0.5770654678344727	0.4744281619787216	-0.07887089252471924	0.10448634624481201
2536.84375	0.0388416213723666	1.7025345197301838	1699.1875	8.0	162506081	castro	Castro de Viladonga	8	0.5038906931877136	0.08644869400887424	0.24669499695301056	0.5260182619094849	0.2793232649564743	-0.14863266050815582	0.195452481508255
2809.325	0.022586251378913295	1.1740647720879445	1066.6875	8.0	174788687	castro	Castro de Pastoriza	8	0.3878004848957062	0.14042547655458262	0.08344385027885437	0.4386882185935974	0.35524436831474304	-0.0006682388484477997	0.024341553449630737
2430.4625	0.021140475125436996	1.558058431640708	649.625	8.0	183927955	castro	Forte de São Jorge	8	0.3024636209011078	0.08583437672130802	0.0995926558971405	0.3120225965976715	0.212429940700531	-0.00011539459228515625	0.008760035037994385
2517.8	0.0189243031336817	1.3546939974839534	702.25	8.0	187312467	castro	Forte de Belém	8	0.31774578988552094	0.11569421377763568	0.06928637623786926	0.37460261583328247	0.3053162395954132	0.01523098349571228	0.022235631942749023
2153.26875	0.03698723842492882	1.673577966596843	1354.5625	8.0	190137031	castro	Castro de Xaz	8	0.41975128650665283	0.058283944381710494	0.24731594324111938	0.4402068257331848	0.19289088249206543	0.08737680315971375	0.10349529981613159
3366.025	0.027394744342989497	1.1211417400505346	1493.25	8.0	191993585	castro	Castro de Laxobre	8	0.48337140679359436	0.1875502265028032	0.06458935886621475	0.5220329761505127	0.45744361728429794	-0.0018271207809448242	0.0584433376789093
2216.0875	0.038168583409501154	1.7975075401185343	1399.4375	8.0	206162331	castro	Castro de Centulle	8	0.4464966952800751	0.03045722868647175	0.3683652877807617	0.4585858881473541	0.09022060036659241	-0.03834347426891327	0.056648433208465576
2281.325	0.03358715338825556	1.747143330616038	1146.1875	8.0	268534208	castro	Castro Cercio	8	0.3881218135356903	0.018695155420897922	0.3569777011871338	0.41341063380241394	0.05643293261528015	0.0006473660469055176	0.043297916650772095
2971.70625	0.020714618706568537	1.4820465753167267	707.375	8.0	268534218	castro	Castro de Castromaior	8	0.2756039500236511	0.08194662389816325	0.04082084447145462	0.3180254101753235	0.27720456570386887	-0.06632090359926224	0.09779173135757446
2072.56875	0.02488150709749196	1.7132897398689337	713.375	8.0	230095314	castro	Castro da Torre de Sobredo	8	0.3002661019563675	0.018502830575137085	0.2518012225627899	0.31206846237182617	0.060267239809036255	-0.09020936489105225	0.10174596309661865
2571.4875	0.04274569539194058	1.7477501316722652	1905.3125	8.0	300617285	castro	Castro de Leiro	8	0.5156949460506439	0.07571739598654939	0.30382779240608215	0.5372006893157959	0.23337289690971375	0.022013932466506958	0.11527025699615479
2154.475	0.04730176752079543	1.3819654957253087	1866.1875	8.0	286866416	castro	Castro de Noville	8	0.5113906562328339	0.015816496136357824	0.4757799804210663	0.5243802070617676	0.048600226640701294	0.013076409697532654	0.07661765813827515
2290.15625	0.0211221328479557	1.3699999995925651	709.375	8.0	306813080	castro	Castro de San Cibrao de Las	8	0.27004871517419815	0.07397075856053188	0.1434808075428009	0.3399313688278198	0.19645056128501892	0.005302652716636658	0.024862021207809448
3173.59375	0.029816883406112313	1.1217229502062378	1518.625	8.0	313112532	castro	Castro da Abeleira	8	0.49710431694984436	0.16434869790043694	0.05503687262535095	0.5250208377838135	0.4699839651584625	0.03264176845550537	0.047815531492233276
2804.0	0.03314680567848034	1.606151650097675	1510.625	8.0	313112534	castro	Castro de Fraga do Pazo	8	0.457301065325737	0.11406400256976287	0.12325073033571243	0.4927736818790436	0.36952295154333115	-0.0009996742010116577	0.0423220694065094
3476.925	0.0337587567415788	1.0926071488098466	1932.4375	8.0	313112535	castro	Castro da Modia da Fraga do Rei	8	0.5487476885318756	0.1977731365302354	0.03536451980471611	0.6053797006607056	0.5700151808559895	0.058957457542419434	0.09509772062301636
3042.0625	0.033329363732333646	1.18005591197074	1698.0625	8.0	313112537	castro	Castro de San Salvador de Parga	8	0.5257355868816376	0.16923920057988356	0.11957693845033646	0.5512695908546448	0.4316926524043083	-0.00527384877204895	0.030356556177139282
2349.28125	0.04231146494524218	1.5083594816597923	1756.1875	8.0	313112536	castro	Castro de Quintán	8	0.49448466300964355	0.07149978803917625	0.29556116461753845	0.5237900018692017	0.2282288372516632	0.01961958408355713	0.029209911823272705
2670.6125	0.031182037129714388	1.1517178160913315	1381.3125	8.0	314480610	castro	Castro de Portomouro de Arriba	8	0.4524971544742584	0.13899086795875024	0.037820372730493546	0.4828968644142151	0.44507649168372154	0.01647394895553589	0.0737539529800415
2773.73125	0.029249149510079793	1.1678734753130402	1288.125	8.0	321060298	castro	Castro da Rodela	8	0.44184932112693787	0.1270237930227251	0.0704990029335022	0.4818780720233917	0.4113790690898895	-0.1942245066165924	0.22022320330142975
2635.45	0.033233121049801397	1.180413192081601	1504.5625	8.0	337411036	castro	Castro de Xermán	8	0.48957663774490356	0.14258305359625187	0.059944409877061844	0.5099209547042847	0.4499765448272228	-0.0010550916194915771	0.0037304461002349854
2289.43125	0.03972289362800435	1.457608460998786	1626.0	8.0	332400381	castro	Castro de Borneiro	8	0.45905596017837524	0.04917218574790167	0.31422150135040283	0.47264713048934937	0.15842562913894653	0.0024002790451049805	0.06444311141967773
