spatial_block_id	province_or_district	municipality	rows	positives	held_out_in_fold	positives_recovered_top_decile	recall_top_decile	median_positive_rank_pct
ES|Lugo|Viveiro	Lugo	Viveiro	27	9	2	3	0.333333	0.156434
ES|Pontevedra|Mos	Pontevedra	Mos	61	9	4	3	0.333333	0.113311
ES|Ourense|Xinzo de Limia	Ourense	Xinzo de Limia	9	6	2	2	0.333333	0.189617
ES|A Coruña|Ares	A Coruña	Ares	6	6	3	2	0.333333	0.110750
ES|Lugo|Ourol	Lugo	Ourol	36	6	4	2	0.333333	0.160639
ES|A Coruña|Fene	A Coruña	Fene	27	6	5	2	0.333333	0.303884
ES|Ourense|Verea	Ourense	Verea	15	3	1	1	0.333333	0.146571
ES|Ourense|Amoeiro	Ourense	Amoeiro	12	3	2	1	0.333333	0.174555
ES|Ourense|Riós	Ourense	Riós	4	3	3	1	0.333333	0.179295
ES|Lugo|Meira	Lugo	Meira	21	3	3	1	0.333333	0.283049
ES|Ourense|Vilamarín	Ourense	Vilamarín	28	3	3	1	0.333333	0.150011
ES|Lugo|Burela	Lugo	Burela	4	3	4	1	0.333333	0.143283
ES|Ourense|Calvos de Randín	Ourense	Calvos de Randín	28	3	4	1	0.333333	0.116446
ES|Lugo|Guitiriz	Lugo	Guitiriz	211	17	2	6	0.352941	0.150776
ES|A Coruña|Melide	A Coruña	Melide	62	17	3	6	0.352941	0.154446
ES|A Coruña|Carballo	A Coruña	Carballo	47	28	2	10	0.357143	0.172032
ES|Pontevedra|Cuntis	Pontevedra	Cuntis	85	14	2	5	0.357143	0.150164
ES|A Coruña|Muxía	A Coruña	Muxía	59	14	4	5	0.357143	0.159416
ES|Lugo|Palas de Rei	Lugo	Palas de Rei	115	25	3	9	0.360000	0.146647
ES|Pontevedra|Forcarei	Pontevedra	Forcarei	98	11	2	4	0.363636	0.126692
ES|A Coruña|Outes	A Coruña	Outes	33	11	3	4	0.363636	0.123175
ES|A Coruña|Santiago de Compostela	A Coruña	Santiago de Compostela	165	30	1	11	0.366667	0.122830
ES|Lugo|Taboada	Lugo	Taboada	54	19	1	7	0.368421	0.144201
ES|Lugo|Portomarín	Lugo	Portomarín	39	8	4	3	0.375000	0.120651
ES|A Coruña|Lousame	A Coruña	Lousame	30	8	5	3	0.375000	0.131623
ES|Lugo|Cospeito	Lugo	Cospeito	106	13	3	5	0.384615	0.128832
ES|A Coruña|Negreira	A Coruña	Negreira	78	13	3	5	0.384615	0.130362
ES|Lugo|Castroverde	Lugo	Castroverde	89	33	5	13	0.393939	0.110177
ES|A Coruña|Sobrado	A Coruña	Sobrado	88	15	3	6	0.400000	0.117134
ES|A Coruña|Cerceda	A Coruña	Cerceda	29	10	5	4	0.400000	0.120193
ES|Ourense|Castrelo de Miño	Ourense	Castrelo de Miño	12	5	1	2	0.400000	0.265005
ES|Pontevedra|Vilagarcía de Arousa	Pontevedra	Vilagarcía de Arousa	25	5	1	2	0.400000	0.139842
ES|Pontevedra|Baiona	Pontevedra	Baiona	43	5	2	2	0.400000	0.145883
ES|Ourense|Cenlle	Ourense	Cenlle	7	5	4	2	0.400000	0.197798
ES|Ourense|Monterrei	Ourense	Monterrei	8	5	4	2	0.400000	0.129368
ES|Lugo|Paradela	Lugo	Paradela	82	12	2	5	0.416667	0.129674
ES|Lugo|A Pobra do Brollón	Lugo	A Pobra do Brollón	17	12	2	5	0.416667	0.134261
ES|A Coruña|Coristanco	A Coruña	Coristanco	67	12	4	5	0.416667	0.129177
ES|A Coruña|Ponteceso	A Coruña	Ponteceso	51	14	2	6	0.428571	0.140148
ES|Pontevedra|Agolada	Pontevedra	Agolada	278	14	5	6	0.428571	0.190993
ES|Pontevedra|Tomiño	Pontevedra	Tomiño	64	7	1	3	0.428571	0.357902
ES|Ourense|Cartelle	Ourense	Cartelle	31	7	2	3	0.428571	0.121416
ES|A Coruña|Paderne	A Coruña	Paderne	9	7	3	3	0.428571	0.101231
ES|A Coruña|Boqueixón	A Coruña	Boqueixón	11	7	3	3	0.428571	0.110865
ES|Ourense|Laza	Ourense	Laza	12	7	4	3	0.428571	0.109871
ES|Pontevedra|Arbo	Pontevedra	Arbo	39	7	5	3	0.428571	0.154064
ES|Pontevedra|Cerdedo-Cotobade	Pontevedra	Cerdedo-Cotobade	138	20	1	9	0.450000	0.111323
ES|A Coruña|Porto do Son	A Coruña	Porto do Son	201	11	1	5	0.454545	0.117287
ES|Pontevedra|Ponteareas	Pontevedra	Ponteareas	48	13	5	6	0.461538	0.100543
ES|Pontevedra|Lalín	Pontevedra	Lalín	142	30	3	14	0.466667	0.108686
ES|Lugo|Mondoñedo	Lugo	Mondoñedo	31	18	4	9	0.500000	0.095344
ES|Ourense|Viana do Bolo	Ourense	Viana do Bolo	18	18	5	9	0.500000	0.116790
ES|Lugo|Monforte de Lemos	Lugo	Monforte de Lemos	20	14	2	7	0.500000	0.100925
ES|Lugo|Monterroso	Lugo	Monterroso	97	12	5	6	0.500000	0.125239
ES|A Coruña|Mesía	A Coruña	Mesía	31	12	5	6	0.500000	0.099090
ES|A Coruña|Cambre	A Coruña	Cambre	11	10	1	5	0.500000	0.111400
ES|Pontevedra|Pontevedra	Pontevedra	Pontevedra	65	10	2	5	0.500000	0.105971
ES|A Coruña|Mazaricos	A Coruña	Mazaricos	98	10	4	5	0.500000	0.104710
ES|A Coruña|Cariño	A Coruña	Cariño	14	8	1	4	0.500000	0.087774
ES|Pontevedra|Sanxenxo	Pontevedra	Sanxenxo	37	6	1	3	0.500000	0.090259
ES|Pontevedra|Barro	Pontevedra	Barro	20	6	1	3	0.500000	0.131547
ES|A Coruña|Cabanas	A Coruña	Cabanas	50	6	4	3	0.500000	0.139575
ES|A Coruña|Carnota	A Coruña	Carnota	55	4	1	2	0.500000	0.377896
ES|Ourense|O Bolo	Ourense	O Bolo	7	4	1	2	0.500000	0.123060
ES|A Coruña|Irixoa	A Coruña	Irixoa	30	4	3	2	0.500000	0.120422
ES|Ourense|Trasmiras	Ourense	Trasmiras	4	4	4	2	0.500000	0.112623
ES|Ourense|Baltar	Ourense	Baltar	13	4	5	2	0.500000	0.101040
ES|Ourense|O Pereiro de Aguiar	Ourense	O Pereiro de Aguiar	11	4	5	2	0.500000	0.055929
ES|Lugo|Trabada	Lugo	Trabada	11	4	5	2	0.500000	0.107424
ES|A Coruña|Corcubión	A Coruña	Corcubión	2	2	1	1	0.500000	0.165915
ES|Ourense|Ribadavia	Ourense	Ribadavia	10	2	1	1	0.500000	0.076955
ES|Ourense|San Xoán de Río	Ourense	San Xoán de Río	6	2	2	1	0.500000	0.111362
ES|A Coruña|Camariñas	A Coruña	Camariñas	5	2	2	1	0.500000	0.100313
ES|Ourense|Barbadás	Ourense	Barbadás	3	2	2	1	0.500000	0.168209
ES|Ourense|Taboadela	Ourense	Taboadela	14	2	3	1	0.500000	0.393876
ES|Pontevedra|Pontecesures	Pontevedra	Pontecesures	2	2	3	1	0.500000	0.140225
ES|Pontevedra|O Grove	Pontevedra	O Grove	2	2	3	1	0.500000	0.356105
ES|Ourense|Paderne de Allariz	Ourense	Paderne de Allariz	3	2	4	1	0.500000	0.235377
ES|Pontevedra|Ponte Caldelas	Pontevedra	Ponte Caldelas	73	2	4	1	0.500000	0.081084
ES|Ourense|Melón	Ourense	Melón	8	2	4	1	0.500000	0.225055
ES|Pontevedra|O Porriño	Pontevedra	O Porriño	18	2	5	1	0.500000	0.094923
ES|Ourense|Entrimo	Ourense	Entrimo	14	2	5	1	0.500000	0.125315
ES|Ourense|Vilariño de Conso	Ourense	Vilariño de Conso	2	2	5	1	0.500000	0.115529
ES|A Coruña|Laxe	A Coruña	Laxe	7	2	5	1	0.500000	0.119313
ES|Pontevedra|Silleda	Pontevedra	Silleda	125	25	1	13	0.520000	0.094885
ES|Lugo|O Páramo	Lugo	O Páramo	32	17	2	9	0.529412	0.096338
ES|Ourense|O Barco de Valdeorras	Ourense	O Barco de Valdeorras	18	15	2	8	0.533333	0.080511
ES|Lugo|Chantada	Lugo	Chantada	54	26	5	14	0.538462	0.087621
ES|A Coruña|Rois	A Coruña	Rois	25	9	3	5	0.555556	0.089915
ES|Lugo|Ribeira de Piquín	Lugo	Ribeira de Piquín	36	9	4	5	0.555556	0.047251
ES|Ourense|Rubiá	Ourense	Rubiá	34	9	5	5	0.555556	0.035553
ES|A Coruña|San Sadurniño	A Coruña	San Sadurniño	17	9	5	5	0.555556	0.099549
ES|Lugo|Baleira	Lugo	Baleira	40	14	1	8	0.571429	0.075197
ES|Lugo|Carballedo	Lugo	Carballedo	26	14	1	8	0.571429	0.085825
ES|A Coruña|Monfero	A Coruña	Monfero	53	7	1	4	0.571429	0.085251
ES|Lugo|Alfoz do Castrodouro	Lugo	Alfoz do Castrodouro	9	7	5	4	0.571429	0.092515
ES|A Coruña|Dumbría	A Coruña	Dumbría	92	12	3	7	0.583333	0.087774
ES|Lugo|Pol	Lugo	Pol	127	12	3	7	0.583333	0.086169
ES|Lugo|Sober	Lugo	Sober	53	17	1	10	0.588235	0.084410
ES|Pontevedra|Vigo	Pontevedra	Vigo	131	30	5	18	0.600000	0.064110
ES|A Coruña|Arteixo	A Coruña	Arteixo	27	20	5	12	0.600000	0.074165
ES|Lugo|A Pontenova	Lugo	A Pontenova	19	10	3	6	0.600000	0.077682
ES|Lugo|Xove	Lugo	Xove	36	10	3	6	0.600000	0.056962
ES|Pontevedra|Cambados	Pontevedra	Cambados	12	5	1	3	0.600000	0.081811
