chip_id	label_class	label_kind	template_source	template_pixels	centroid_row	centroid_col	equivalent_radius_px	equivalent_radius_m	edge_slope_ring	edge_slope_mean	context_slope_mean	edge_slope_ratio	edge_lrm_abs_ring	edge_lrm_abs_mean	context_lrm_abs_mean	edge_lrm_abs_ratio	edge_hillshade_ring	edge_hillshade_mean	context_hillshade_mean	edge_hillshade_ratio	core_dem_mean	far_context_dem_mean	dem_prominence_m	edge_talud_score	edge_talud_rank_desc	topographic_prominence_rank_desc	status	error
viladonga-pnoa-positive-1	1	positive	actual_positive_mask	12794	690.00	860.33	63.82	63.82	expected_wall_inner	22.411860	16.248982	1.379278	expected_wall_inner	1.576953	0.856715	1.840696	expected_wall_outer	0.502716	0.577402	0.870652	547.912964	534.707275	13.205688	10.979821	1	1	ok	
viladonga-pnoa-negative-2	0	negative	centered_positive_template	12911	964.25	923.75	64.11	64.11	expected_wall_inner	12.205858	13.945848	0.875232	expected_wall_inner	0.343568	0.472877	0.726549	expected_wall_inner	0.432286	0.544463	0.793969	515.502686	510.705688	4.796997	1.975847	3	2	ok	
viladonga-pnoa-negative-3	0	negative	centered_positive_template	12906	647.77	1216.25	64.09	64.09	expected_wall_inner	7.901892	8.858956	0.891966	expected_wall_outer	0.308216	0.574408	0.536580	expected_wall_outer	0.212782	0.374805	0.567714	516.913513	514.966064	1.947449	-1.236458	8	5	ok	
viladonga-pnoa-negative-4	0	negative	centered_positive_template	12915	376.25	938.24	64.12	64.12	expected_wall_outer	8.775629	11.426052	0.768037	expected_wall_inner	0.402869	0.516648	0.779774	expected_wall_inner	0.193070	0.234476	0.823408	497.259827	506.032593	-8.772766	0.143460	5	9	ok	
viladonga-pnoa-negative-5	0	negative	centered_positive_template	12913	380.75	476.25	64.11	64.11	expected_wall_outer	6.771566	8.753579	0.773577	expected_wall_inner	0.356116	0.594456	0.599063	expected_wall_outer	0.148635	0.331719	0.448074	482.726562	478.532562	4.194000	-4.843776	9	3	ok	
viladonga-pnoa-negative-6	0	negative	centered_positive_template	12915	605.25	370.24	64.12	64.12	expected_wall_outer	5.808187	7.641690	0.760066	expected_wall_outer	0.392586	0.401698	0.977316	expected_wall_outer	0.211946	0.270085	0.784740	464.251495	467.983490	-3.731995	0.808630	4	7	ok	
viladonga-pnoa-negative-7	0	negative	centered_positive_template	12913	969.26	591.76	64.11	64.11	expected_wall_outer	7.125604	8.822932	0.807623	expected_wall_outer	0.284207	0.366787	0.774857	expected_wall_outer	0.203615	0.292678	0.695696	469.987244	474.942535	-4.955292	-0.320135	7	8	ok	
viladonga-pnoa-negative-8	0	negative	centered_positive_template	12884	941.23	1212.19	64.04	64.04	expected_wall_outer	9.648973	10.734245	0.898896	expected_wall_outer	0.423902	0.641285	0.661020	expected_wall_inner	0.458441	0.451454	1.015477	501.139923	498.574646	2.565277	4.446190	2	4	ok	
viladonga-pnoa-negative-9	0	negative	centered_positive_template	12915	1144.25	1260.24	64.12	64.12	expected_wall_outer	8.457218	11.085896	0.762881	expected_wall_outer	0.499651	0.572459	0.872816	expected_wall_outer	0.297879	0.386335	0.771039	491.654510	491.864410	-0.209900	0.063512	6	6	ok	
