municipio	nombre	codigo	parroquia	lugar	fuente	url	notas	decision
Neda	Torre Anca		Anca		NNSS Neda / SIOTUGA y Plan Sectorial 2014	https://siotuga.xunta.gal/siotuga/documentos/urbanismo/NEDA/documents/0242ca004.pdf	Plan Sectorial 2014, TOP15055001; no castro	non_castro_or_source_reference
Fene	Catálogo municipal de bens e espazos libres protexidos				PXOM Fene, web municipal	https://fene.gal/portal-cidadan/pxom/gl	ZIP vivo pero técnicamente corrupto; localizado, no explotado como tabla completa	non_castro_or_source_reference
